cncode_id,cncode,cncode_active,commodity_id
133,0102 29 91,1,8
134,0102 29 99,1,8
135,"0201 10 00        ",1,8
136,0201 20 20,1,8
137,0201 20 30,1,8
138,0201 20 50,1,8
139,0201 20 90,1,8
140,0201 30 00,1,8
141,0202 10 00,1,8
142,0202 20 10,1,8
143,0202 20 30,1,8
144,0202 20 50,1,8
145,0202 20 90,1,8
146,0202 30 50,1,8
147,"0202 30 90     ",1,8
148,0202 30 10,1,8
149,0206 10 95,1,8
150,0206 10 95,1,8
151,0206 29 91,1,8
152,0206 29 91,1,8
153,0210 20 10,1,8
154,0210 20 90,1,8
155,0210 99 51,1,8
156,0210 99 59,1,8
157,ex1502 10 90,1,8
158,ex1502 90 90,1,8
159,0401 10 10,1,12
160,0401 10 90,1,12
161,0401 20 11,1,12
162,0401 20 19,1,12
163,0401 20 91,1,12
164,0401 20 99,1,12
165,0401 40 10,1,12
166,0401 40 90,1,12
167,0401 50 11,1,12
168,0401 50 19,1,12
169,0401 50 31,1,12
170,0401 50 39,1,12
171,0401 50 91,1,12
172,0401 50 99,1,12
173,0402 10 11,1,12
174,0402 10 19,1,12
175,0402 10 91,1,12
176,0402 10 99,1,12
177,0402 21 11,1,12
178,0402 21 18,1,12
179,0402 21 91,1,12
180,0402 21 99,1,12
181,0402 29 11,1,12
182,0402 29 15,1,12
183,0402 29 19,1,12
184,0402 29 91,1,12
185,0402 29 99,1,12
186,0402 91 10,1,12
187,0402 91 30,1,12
188,0402 91 51,1,12
189,0402 91 59,1,12
190,0402 91 91,1,12
191,0402 91 99,1,12
192,0402 99 10,1,12
193,0402 99 31,1,12
194,0402 99 39,1,12
195,0402 99 91,1,12
196,0402 99 99,1,12
197,0403 10 11,1,12
198,0403 10 13,1,12
199,0403 10 19,1,12
200,0403 10 31,1,12
201,0403 10 33,1,12
202,0403 10 39,1,12
203,0403 10 51,1,12
204,0403 10 53,1,12
205,0403 10 59,1,12
206,0403 10 91,1,12
207,0403 10 93,1,12
208,0403 10 99,1,12
209,0403 90 11,1,12
210,0403 90 13,1,12
211,0403 90 19,1,12
212,0403 90 31,1,12
213,0403 90 33,1,12
214,0403 90 39,1,12
215,0403 90 51,1,12
216,0403 90 53,1,12
217,0403 90 59,1,12
218,0403 90 61,1,12
219,0403 90 63,1,12
220,0403 90 69,1,12
221,0404 10 02,1,12
222,0404 10 04,1,12
223,0404 10 06,1,12
224,0404 10 12,1,12
225,0404 10 14,1,12
226,0404 10 16,1,12
227,0404 10 26,1,12
228,0404 10 28,1,12
229,0404 10 32,1,12
230,0404 10 34,1,12
231,0404 10 36,1,12
232,0404 10 38,1,12
233,0404 10 48,1,12
234,0404 10 52,1,12
235,0404 10 54,1,12
236,0404 10 56,1,12
237,0404 10 58,1,12
238,0404 10 62,1,12
239,0404 10 72,1,12
240,0404 10 74,1,12
241,0404 10 76,1,12
242,0404 10 78,1,12
243,0404 10 82,1,12
244,0404 10 84,1,12
245,0404 90 21,1,12
246,0404 90 23,1,12
247,0404 90 29,1,12
248,0404 90 81,1,12
249,0404 90 83,1,12
250,0404 90 89,1,12
251,0405 10 11,1,12
252,0405 10 19,1,12
253,0405 10 30,1,12
254,0405 10 50,1,12
255,0405 10 90,1,12
256,0405 20 10,1,12
257,0405 20 30,1,12
258,0405 20 90,1,12
259,0405 90 10,1,12
260,0405 90 90,1,12
261,ex0406 10 50,1,12
262,0406 10 30,1,12
263,0406 10 50 10,1,12
264,0406 10 50,1,12
265,0406 10 80,1,12
266,0406 20 00,1,12
267,0406 30 10,1,12
268,0406 30 31,1,12
269,0406 30 39,1,12
270,0406 30 90,1,12
